pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	9.445950053748166e-46	9.300482422920445e-42	1.7624392879180957	-0.792000968198222	-3.277524649102813	160	
DNA REPLICATION%GOBP%GO:0006260	5.402506951336845e-38	2.659654172143129e-34	1.6024311492355572	-0.7744804754547936	-3.166468166502741	144	
CHROMOSOME ORGANIZATION%GOBP%GO:0051276	2.2522444947506806e-36	7.391866431771734e-33	1.5697916570638113	-0.636167965541236	-2.834177778765227	308	
CELL CYCLE CHECKPOINTS%REACTOME%R-HSA-69620.5	2.608317188128419e-35	6.420372758578103e-32	1.543183091348708	-0.6698262877635061	-2.919650066758062	246	
DNA-TEMPLATED DNA REPLICATION%GOBP%GO:0006261	1.0187555339952755e-30	1.8821292561575973e-27	1.4390256526778213	-0.7837317240835057	-3.0812270543431244	115	
M PHASE%REACTOME DATABASE ID RELEASE 93%68886	1.146940436415355e-30	1.8821292561575973e-27	1.4390256526778213	-0.5957059231952125	-2.6720845420928203	330	
HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	8.186025037187527e-27	1.1514228930878342e-23	1.3422337729644571	-0.7090898091382474	-2.8959958564729718	143	
POSITIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0090068	3.837118290031178e-26	4.722533335455872e-23	1.3267160980048087	-0.6764334769140129	-2.8337095404658275	173	
CHROMOSOME SEGREGATION%GOBP%GO:0007059	7.361189144449888e-26	8.053140924028177e-23	1.3188887960758697	-0.6274500904185798	-2.7119008101947024	230	
MITOTIC PROMETAPHASE%REACTOME%R-HSA-68877.8	1.5311938147436894e-25	1.5076134299966366e-22	1.3110147627406066	-0.6676381454661815	-2.805131708390536	181	
REGULATION OF CELL CYCLE PHASE TRANSITION%GOBP%GO:1901987	2.754815197864803e-25	2.421990309280406e-22	1.303093150865724	-0.565686629657266	-2.5343395538565097	328	
DOUBLE-STRAND BREAK REPAIR%GOBP%GO:0006302	2.951846812041933e-25	2.421990309280406e-22	1.303093150865724	-0.6516005239665306	-2.7644509509036146	195	
DNA REPAIR%REACTOME%R-HSA-73894.5	4.999491349647833e-25	3.7865378329717357e-22	1.2951230874100392	-0.5832009889552855	-2.563051020321813	286	
DNA RECOMBINATION%GOBP%GO:0006310	9.008851835406584e-25	6.3357967979580875e-22	1.2871036723014444	-0.6748026845761119	-2.806354576353269	167	
NUCLEAR DIVISION%GOBP%GO:0000280	1.2217204466813875e-24	8.019373012016628e-22	1.2871036723014444	-0.6414351816484395	-2.7339684878498183	202	
ORGANELLE FISSION%GOBP%GO:0048285	2.7424688684029558e-24	1.687646779893469e-21	1.2790339772504933	-0.623177122847763	-2.6848186465856028	225	
