pathway	size	pval	padj	ES	NES	log2err	leadingEdge
'DE NOVO' AMP BIOSYNTHETIC PROCESS%GOBP%GO:0044208	7	0.12065439672801637	0.40286631894136965	-0.6566617933522412	-1.3757244012386007	0.18302393838448722	
'DE NOVO' PROTEIN FOLDING%GOBP%GO:0006458	8	0.7858627858627859	0.9167778423702595	-0.34363339417460914	-0.7429730503028138	0.05859375689456714	
10-FORMYLTETRAHYDROFOLATE METABOLIC PROCESS%GOBP%GO:0009256	5	0.06547619047619048	0.2874179988535762	0.76411643503481	1.4686557371483837	0.24891111443470243	
10Q11 21Q11 23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5352%HOMO SAPIENS	36	0.1469387755102041	0.44611754044818674	-0.3855464206325727	-1.2479274281891326	0.16440575583821013	
10Q22Q23 COPY NUMBER VARIATION%WIKIPATHWAYS_20250810%WP5402%HOMO SAPIENS	27	0.4844961240310077	0.7675270864399971	0.33600952775524	0.9781013612030983	0.07913166517683488	
11P11 2 COPY NUMBER VARIATION SYNDROME %WIKIPATHWAYS_20250810%WP5348%HOMO SAPIENS	31	0.707983193277311	0.878811743951613	-0.2731594299805919	-0.8479337091395875	0.06407037504997216	
13Q12 12 COPY NUMBER VARIATION%WIKIPATHWAYS_20250810%WP5406%HOMO SAPIENS	22	0.21850393700787402	0.5355712630768055	0.4415089403474533	1.2239710639578743	0.12944288774504625	
15Q11 2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP4940%HOMO SAPIENS	7	0.5419222903885481	0.8028482021964797	-0.45396692005298156	-0.9510731027669409	0.07608371609517249	
15Q11Q13 COPY NUMBER VARIATION%WIKIPATHWAYS_20250810%WP5407%HOMO SAPIENS	30	0.7875751503006012	0.9175720731922249	-0.2505874202909558	-0.7818254339387671	0.05676723874874463	
15Q13 3 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP4942%HOMO SAPIENS	10	0.3407707910750507	0.6559527594821712	-0.47229104430684166	-1.0970382687470384	0.10171390228231093	
15Q25 COPY NUMBER VARIATION%WIKIPATHWAYS_20250810%WP5408%HOMO SAPIENS	28	0.40545808966861596	0.7083644973651256	0.3496614013631769	1.0312645853649196	0.08916471178206781	
16P11 2 DISTAL DELETION SYNDROME%WIKIPATHWAYS_20250810%WP4950%HOMO SAPIENS	19	0.47808764940239046	0.7621996345891441	-0.3561986886881063	-0.9872782286432855	0.08130273453844984	
16P11 2 PROXIMAL DELETION SYNDROME%WIKIPATHWAYS_20250810%WP4949%HOMO SAPIENS	49	0.5254582484725051	0.7910798034342944	-0.27960692663556014	-0.964312527115577	0.07747675478485777	
16P12 2 COPY NUMBER VARIATION SYNDROME 520KB %WIKIPATHWAYS_20250810%WP5510%HOMO SAPIENS	40	0.9705882352941176	1	-0.19586462405054786	-0.6458484957517506	0.04929176623126693	
16P13 11 COPY NUMBER VARIATION SYNDROME %WIKIPATHWAYS_20250810%WP5502%HOMO SAPIENS	23	0.9643564356435643	1	0.20097683734955699	0.5637389063966683	0.04688198568783333	
17P13 3 YWHAE COPY NUMBER VARIATION%WIKIPATHWAYS_20250810%WP5376%HOMO SAPIENS	14	0.5030425963488844	0.7801161448497583	-0.3825197811643636	-0.9664825995960261	0.07955646772359566	
17Q12 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5287%HOMO SAPIENS	42	0.33984375	0.6559527594821712	0.33528094925229324	1.076037799996572	0.09957912004959042	
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5345%HOMO SAPIENS	66	0.49287169042769857	0.7732336940648694	-0.2685166032249228	-0.978182476393215	0.08085891502800323	
1Q21 1 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP4905%HOMO SAPIENS	17	0.08946322067594434	0.344352959646344	0.5348848307915406	1.40338423268085	0.2114001893849227	
2'-DEOXYRIBONUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009265	12	6.539811873192678e-7	2.4026487949050414e-5	-0.8912524187190253	-2.1918970187826847	0.6594443980379349	
2'-DEOXYRIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009394	30	5.968104255701051e-6	1.7333909882487474e-4	-0.7071430502603135	-2.2062656676246046	0.610526878385931	
2-AMINOADIPIC 2-OXOADIPIC ACIDURIA%SMPDB%SMP0000719	12	0.3005893909626719	0.6158142204366349	-0.4603207636477376	-1.1320874853539475	0.10755437526516934	
2-HYDROXYGLUTRIC ACIDURIA (D AND L FORM)%SMPDB%SMP0000136	20	0.5383064516129032	0.8013440610175797	-0.33720775711306594	-0.9470508110312018	0.07569463079327488	
2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY%PATHWHIZ%PW000525	21	0.10685483870967742	0.3749439564987469	-0.487158368791808	-1.3848407976392954	0.19381330272531053	
2-LTR CIRCLE FORMATION%REACTOME%R-HSA-164843.4	7	0.41513292433537835	0.7155794264235769	-0.5082439601237867	-1.0647849849083126	0.09054289484694737	
2-METHYL-3-HYDROXYBUTYRYL-COA DEHYDROGENASE DEFICIENCY%PATHWHIZ%PW000061	26	0.949317738791423	0.9968775352216359	0.21407692880161122	0.619523504189108	0.04688198568783333	
2-OXOGLUTARATE METABOLIC PROCESS%GOBP%GO:0006103	14	0.43418467583497056	0.7277666924617151	0.40302787593149475	1.0159858804027508	0.0857844408075645	
22Q11 2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP4657%HOMO SAPIENS	63	0.014278608206683188	0.1048375662960497	-0.42613239428227745	-1.5304336625247297	0.3807304007227924	
22Q11 2 DISTAL CNV%WIKIPATHWAYS_20250810%WP5546%HOMO SAPIENS	98	0.9247967479674797	0.9876965621949897	0.20504632568916858	0.7722115126600191	0.04999139140245922	
27-HYDROXYLASE DEFICIENCY%PATHWHIZ%PW000697	7	0.7719298245614035	0.9092428609290604	0.3542555531392794	0.7454783104548617	0.056411838821759604	
2Q11 2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5221%HOMO SAPIENS	22	0.5607287449392713	0.811240960067079	-0.3204823472659998	-0.922118644604538	0.07380527241712746	
2Q13 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5222%HOMO SAPIENS	26	0.6179337231968811	0.8422776768666747	0.3075841733636749	0.8901268622550406	0.06705125798294667	
2Q21 1 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5223%HOMO SAPIENS	8	0.6737044145873321	0.8641140490295237	0.3688169129628674	0.8182344323838877	0.06211241889494712	
2Q37 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5224%HOMO SAPIENS	69	0.5900990099009901	0.8269448977348631	0.26730119046524203	0.9434087284127517	0.07011321576425601	
3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE METABOLIC PROCESS%GOBP%GO:0050427	6	0.6719367588932806	0.8641140490295237	0.4236422722283603	0.8486323797508405	0.06364240816510186	
3'-UTR-MEDIATED MRNA DESTABILIZATION%GOBP%GO:0061158	14	0.2200392927308448	0.537328094302554	0.4775104354271749	1.2037476539747891	0.12878871306171366	
